Unternehmen, Beschaeftigte, Umsatz und weitere betriebs- und;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volkswirtschaftliche Kennzahlen im Gastgewerbe:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland, Jahre, Wirtschaftszweige;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahresstatistik im Gastgewerbe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Unternehmen;RSF - Unternehmen;Oertliche Einheiten;RSF - Oertliche Einheiten;Beschaeftigte;Arbeitnehmer;RSF - Arbeitnehmer;Teilzeitbeschaeftigte;Umsatz;RSF - Umsatz;Umsatz je Unternehmen;Umsatz je Beschaeftigten;Umsatz aus E-Commerce;Sonstige betriebliche Ertraege;Subventionen;Warenbestaende am Anfang des Jahres;Warenbestaende am Ende des Jahres;Entgelte;RSF - Entgelte;Bruttoinvestitionen in Sachanlagen;RSF - Bruttoinvestitionen in Sachanlagen;Rohertragsquote;Aufwendungen;Rohertrag;Produktionswert;Produktionswert (Anteil am Umsatz);Bruttowertschoepfung zu Faktorkosten;RSF - BWS zu Faktorkosten;BWS zu Faktorkosten (Anteil am Umsatz);Bruttobetriebsueberschuss;Bruttobetriebsueberschuss (Anteil am Umsatz)
;;;Anzahl;Prozent;Anzahl;Prozent;Anzahl;Anzahl;Prozent;Anzahl;Mill. EUR;Prozent;Tsd. EUR;Tsd. EUR;Prozent;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Prozent;Mill. EUR;Prozent;Prozent;Mill. EUR;Mill. EUR;Mill. EUR;Prozent;Mill. EUR;Prozent;Prozent;Mill. EUR;Prozent
2005;WZ08-553;Campingplaetze;967;-;1032;-;5726;4632;-;2428;289;-;298;50;1,6;4;0;6;6;48;-;31;-;86,9;182;251;274;94,9;170;-;59,0;110;38,3
2006;WZ08-553;Campingplaetze;1187;-;1312;-;6566;5243;-;2769;326;-;275;50;1,8;4;0;6;8;57;-;26;-;86,9;217;283;310;95,0;186;-;57,1;116;35,5
2007;WZ08-553;Campingplaetze;1225;-;1314;-;7798;5686;-;3502;387;-;316;50;3,4;4;2;9;9;65;-;58;-;84,9;251;329;363;93,7;222;-;57,4;143;36,9
2008;WZ08-553;Campingplaetze;1082;11,3;1195;10,7;6988;5803;12,6;3357;324;13,7;299;46;4,4;4;1;10;10;61;13,9;39;28,7;86,1;209;279;315;97,3;195;15,4;60,2;121;37,3
2009;WZ08-553;Campingplaetze;1574;4,5;1683;4,4;10028;8096;4,4;4399;465;3,2;295;46;4,8;10;1;9;8;84;4,2;38;16,2;85,9;295;399;458;98,6;282;3,7;60,6;180;38,7
2010;WZ08-553;Campingplaetze;1454;2,4;1568;2,7;9562;7779;4,8;4316;431;5,4;296;45;8,4;10;3;10;11;81;7,1;45;12,2;83,2;302;358;429;99,7;243;12,2;56,4;142;33,1
2011;WZ08-553;Campingplaetze;1497;3,5;1582;3,4;9856;8010;3,9;4760;438;2,7;292;44;7,8;8;2;10;10;84;4,0;55;10,0;79,9;332;350;431;98,5;221;3,5;50,4;117;26,6
2012;WZ08-553;Campingplaetze;1384;0,1;1476;0,8;9529;7880;2,9;4852;437;1,9;316;46;10,0;9;2;10;10;81;2,8;43;5,4;78,8;322;345;435;99,6;230;2,4;52,6;126;28,9
2013;WZ08-553;Campingplaetze;1284;0,6;1391;1,4;9044;7592;4,5;4529;405;2,2;316;45;6,4;9;1;9;11;80;3,5;36;6,8;79,4;311;322;407;100,5;206;2,6;50,7;106;26,1
2014;WZ08-553;Campingplaetze;1428;3,9;1710;10,3;9517;7918;3,7;4655;448;3,4;314;47;5,8;10;1;13;15;87;4,7;42;8,1;79,5;338;357;451;100,5;231;3,6;51,6;124;27,6
2015;WZ08-553;Campingplaetze;1473;2,4;1611;3,9;10540;8950;3,7;5034;523;3,3;355;50;10,0;10;0;18;17;106;4,0;67;9,0;81,2;385;425;517;98,9;281;3,9;53,7;148;28,3
2016;WZ08-553;Campingplaetze;1465;2,5;1611;2,9;12419;10851;5,7;6547;615;6,3;420;50;8,7;9;1;16;16;127;5,7;100;18,4;79,9;452;492;609;99,0;331;5,4;53,7;174;28,3
2017;WZ08-553;Campingplaetze;1525;0,0;1762;3,3;12918;11424;3,5;6875;625;2,6;410;48;10,7;6;1;20;25;136;3,8;79;9,1;80,9;462;506;622;99,5;342;3,8;54,7;174;27,8
2018;WZ08-553;Campingplaetze;1552;3,2;1715;3,6;13271;11843;5,2;7028;708;3,9;456;53;11,5;8;0;25;28;147;4,0;76;7,5;79,9;524;566;690;97,5;379;3,0;53,6;196;27,7
2019;WZ08-553;Campingplaetze;1653;2,9;1827;3,3;14824;13169;10,6;7998;781;7,1;472;53;12,4;8;2;30;33;160;8,5;100;17,5;80,2;586;626;760;97,3;406;7,2;52,1;208;26,7
2020;WZ08-553;Campingplaetze;1619;4,7;1727;4,5;12903;11318;5,6;6641;792;5,8;489;61;10,7;12;16;24;19;134;4,6;92;21,0;80,0;565;633;771;97,4;416;3,8;52,5;249;31,5